epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,1084.85,0.52666,0.43177,1.00606,0.83952,0.81255,0.85236,0.62338,0.90041,0.76069,1.2483,0.00071641,0.00071641,0.00071641
146,1092.73,0.5335,0.43418,0.99224,0.89752,0.77794,0.85954,0.63545,0.87801,0.75731,1.24644,0.000709809,0.000709809,0.000709809
147,1098.78,0.52843,0.44552,1.00934,0.88882,0.77296,0.85257,0.63884,0.88174,0.7544,1.24666,0.000703207,0.000703207,0.000703207
148,1108.28,0.51656,0.42163,0.97138,0.89352,0.7921,0.85694,0.6622,0.87419,0.73418,1.27462,0.000696606,0.000696606,0.000696606
149,1114.46,0.50069,0.40809,0.98518,0.88855,0.77125,0.85077,0.65899,0.85783,0.72991,1.26183,0.000690005,0.000690005,0.000690005
150,1122.1,0.50977,0.40682,0.9736,0.84719,0.79893,0.8458,0.6439,0.89495,0.70605,1.25607,0.000683403,0.000683403,0.000683403
151,1129.81,0.48274,0.41466,0.97532,0.8879,0.7667,0.84036,0.64287,0.90929,0.72082,1.27161,0.000676802,0.000676802,0.000676802
152,1135.96,0.50275,0.41023,0.98461,0.91157,0.77967,0.8526,0.65645,0.88357,0.71609,1.29775,0.000670201,0.000670201,0.000670201
153,1145.97,0.495,0.3998,0.97182,0.90319,0.7898,0.8444,0.64143,0.89592,0.80368,1.28779,0.000663599,0.000663599,0.000663599
154,1151.77,0.51123,0.4176,0.99367,0.91136,0.72667,0.82599,0.60645,0.97757,0.8179,1.37032,0.000656998,0.000656998,0.000656998
155,1158.88,0.52273,0.43104,0.9849,0.87002,0.74725,0.82882,0.61083,0.93039,0.78533,1.315,0.000650397,0.000650397,0.000650397
156,1167.14,0.51092,0.41612,0.99163,0.90847,0.73161,0.83404,0.62372,0.90806,0.78772,1.25991,0.000643795,0.000643795,0.000643795
157,1173.37,0.50722,0.40999,0.98092,0.86663,0.78463,0.84305,0.64166,0.91383,0.75525,1.27607,0.000637194,0.000637194,0.000637194
158,1182.48,0.50093,0.40999,0.98577,0.86788,0.78248,0.84241,0.64098,0.92015,0.78591,1.29145,0.000630593,0.000630593,0.000630593
159,1189.46,0.49506,0.39109,0.97896,0.86298,0.75924,0.83962,0.63337,0.91439,0.79086,1.28384,0.000623991,0.000623991,0.000623991
160,1195.75,0.5017,0.40582,0.98088,0.89849,0.7258,0.81572,0.61668,0.94524,0.83923,1.28834,0.00061739,0.00061739,0.00061739
161,1205.69,0.50809,0.42356,0.96483,0.84796,0.76181,0.8088,0.59818,0.98139,0.89601,1.29647,0.000610789,0.000610789,0.000610789
162,1211.55,0.4843,0.41191,0.97776,0.89672,0.73161,0.8241,0.62029,0.92283,0.82059,1.27993,0.000604187,0.000604187,0.000604187
163,1218.92,0.48523,0.40232,0.96547,0.82811,0.78677,0.82322,0.61436,0.94506,0.79583,1.3387,0.000597586,0.000597586,0.000597586
164,1227.7,0.48326,0.3969,0.97963,0.87342,0.77876,0.83528,0.62945,0.93147,0.78266,1.32446,0.000590985,0.000590985,0.000590985
